rateId,baseCurrency,targetCurrency,exchangeRate,previousRate,changePercent,effectiveDate,effectiveTime,bidRate,askRate,midRate,spread,rateType,importSource,importFrequency,importStatus,lastImportDate,lastImportTime,status,settings,apiEndpoint,apiKey,dateCreated,dateModified,createdBy,modifiedBy
EUR-000001,EUR,USD,1.0847,1.0823,0.22,2024-06-03,09:00:00,1.0845,1.0849,1.0847,4,spot,ecb,daily,completed,2024-06-03,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-03,2024-06-03,system,system
EUR-000002,EUR,USD,1.0856,1.0847,0.08,2024-06-04,09:00:00,1.0854,1.0858,1.0856,4,spot,ecb,daily,completed,2024-06-04,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-04,2024-06-04,system,system
EUR-000003,EUR,USD,1.0843,1.0856,-0.12,2024-06-05,09:00:00,1.0841,1.0845,1.0843,4,spot,ecb,daily,completed,2024-06-05,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-05,2024-06-05,system,system
EUR-000004,EUR,USD,1.0862,1.0843,0.18,2024-06-06,09:00:00,1.0860,1.0864,1.0862,4,spot,ecb,daily,completed,2024-06-06,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-06,2024-06-06,system,system
EUR-000005,EUR,USD,1.0871,1.0862,0.08,2024-06-07,09:00:00,1.0869,1.0873,1.0871,4,spot,ecb,daily,completed,2024-06-07,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-07,2024-06-07,system,system
EUR-000006,EUR,USD,1.0885,1.0871,0.13,2024-06-10,09:00:00,1.0883,1.0887,1.0885,4,spot,ecb,daily,completed,2024-06-10,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-10,2024-06-10,system,system
EUR-000007,EUR,USD,1.0892,1.0885,0.06,2024-06-11,09:00:00,1.0890,1.0894,1.0892,4,spot,ecb,daily,completed,2024-06-11,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-11,2024-06-11,system,system
EUR-000008,EUR,USD,1.0878,1.0892,-0.13,2024-06-12,09:00:00,1.0876,1.0880,1.0878,4,spot,ecb,daily,completed,2024-06-12,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-12,2024-06-12,system,system
EUR-000009,EUR,USD,1.0865,1.0878,-0.12,2024-06-13,09:00:00,1.0863,1.0867,1.0865,4,spot,ecb,daily,completed,2024-06-13,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-13,2024-06-13,system,system
EUR-000010,EUR,USD,1.0852,1.0865,-0.12,2024-06-14,09:00:00,1.0850,1.0854,1.0852,4,spot,ecb,daily,completed,2024-06-14,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-14,2024-06-14,system,system
EUR-000011,EUR,USD,1.0837,1.0852,-0.14,2024-06-17,09:00:00,1.0835,1.0839,1.0837,4,spot,ecb,daily,completed,2024-06-17,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-17,2024-06-17,system,system
EUR-000012,EUR,USD,1.0845,1.0837,0.07,2024-06-18,09:00:00,1.0843,1.0847,1.0845,4,spot,ecb,daily,completed,2024-06-18,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-18,2024-06-18,system,system
EUR-000013,EUR,USD,1.0859,1.0845,0.13,2024-06-19,09:00:00,1.0857,1.0861,1.0859,4,spot,ecb,daily,completed,2024-06-19,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-19,2024-06-19,system,system
EUR-000014,EUR,USD,1.0872,1.0859,0.12,2024-06-20,09:00:00,1.0870,1.0874,1.0872,4,spot,ecb,daily,completed,2024-06-20,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-20,2024-06-20,system,system
EUR-000015,EUR,USD,1.0886,1.0872,0.13,2024-06-21,09:00:00,1.0884,1.0888,1.0886,4,spot,ecb,daily,completed,2024-06-21,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-21,2024-06-21,system,system
EUR-000016,EUR,USD,1.0901,1.0886,0.14,2024-06-24,09:00:00,1.0899,1.0903,1.0901,4,spot,ecb,daily,completed,2024-06-24,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-24,2024-06-24,system,system
EUR-000017,EUR,USD,1.0915,1.0901,0.13,2024-06-25,09:00:00,1.0913,1.0917,1.0915,4,spot,ecb,daily,completed,2024-06-25,09:00:00,active,"autoArchive,validateRates",https://api.ecb.europa.eu/rates,ECB_API_KEY_TEST,2024-06-25,2024-06-25,system,system
